Country_code_A3;Name;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
CHN;China;1713774,55492921;1726732,6912758;1719310,92911966;1704516,71063456;1738727,92130834;1876639,80103636;1817920,89809367;1824385,48944814;1849111,16243574;1838022,15233159;1733334,52255234;1749174,0349843;1786814,54089392;1837069,99859913;2041745,4517834;2135503,26915938;2222297,96073371;2277054,31355507;2308022,81296172;2379491,42579252;2362239,29649258;2470730,67296054;2492923,39515677;2537431,03759514;2522736,06860696;2542378,08559278;2518778,48687886;2491569,08969816;2511003,26116597
CIV;Cote d'Ivoire;66690,681050577;66927,3589897741;67094,3037094808;67119,1404507959;67477,9021170297;67971,7647368441;68205,5637682385;68907,1875131044;69244,0658390246;69488,8891230356;69542,6108010937;34948,445639605;35347,594623038;35210,0167638262;35457,2061777499;35839,5823690371;35949,8433091599;36096,48156158;36220,3703890209;36936,9219898007;36957,1297771519;37150,886623837;37918,7219412412;38450,7546947973;38965,5348117489;39182,2520579318;39206,40658565;40150,0830411397;40373,3283416351
CMR;Cameroon;67352,907618259;67291,5675539602;67266,3053099032;67298,8689906737;67396,5873980134;67598,5944430451;68189,4841989088;68373,3169029974;70984,5201109516;70871,351731685;71571,3210640357;59803,1177080892;59776,0725936468;61672,8851358889;60808,7320041482;62288,3823191697;60858,5436630707;61000,9050770195;60408,0954698929;59979,6926729533;60648,2751674865;53202,686161681;53699,5466960128;54709,6623485793;54795,6791463164;56078,0590598393;56670,9189409966;56793,5212647439;57126,4085494234
COD;Congo_the Democratic Republic of the;406457,673945202;406345,298368293;406839,895930171;406943,157914736;407207,464604261;407024,179628165;408792,134383592;415591,210182119;416833,908501049;410087,578177529;407526,598995074;396194,075610801;403043,688394956;407314,28294757;408883,472339064;409606,405043688;411412,808257022;407898,461437248;410442,319917898;410354,703629538;411849,634780883;646704,017119546;647258,358750104;649486,144965156;650315,042429406;653256,642618146;653837,705097338;653924,866523897;651179,134434069
COG;Congo;12268,0142012626;12270,9177856518;12291,2390570252;12345,2865530251;12306,0956041257;12642,9283005084;13302,2274767134;13406,5451204775;13682,5587366307;14111,2931222272;14045,7324947724;13348,5607621674;12362,2261340567;12780,7209881281;12943,3884092883;13688,5791549293;14123,5414316848;13631,0712241217;13594,6010161008;13839,6809107733;14347,1297409513;14418,0953108999;14691,5022946477;14563,4880444448;14624,8275839225;14754,3793190782;15903,8869110516;15942,8111751775;16369,5004506874
COK;Cook Islands;12,8342708784339;11,4311382052517;13,210180710592;14,3591076651096;15,142385233956;15,4813178711294;15,7791874066965;16,4533622621844;17,0633346808318;15,4664082117662;14,7705432725843;13,821302832085;11,9993413715093;11,8155118556421;13,3535159873662;15,3106314048572;15,506477925933;14,3279823263742;15,0186766059597;15,0158467572697;16,3613975846636;22,0185689581036;21,4138770212156;20,7732354232482;19,9577008949599;19,6896348064448;19,6617852595241;16,1028516441457;16,2413077512513
COL;Colombia;179804,856270727;179592,682228626;181323,471362771;183360,68096464;184570,871580567;185365,834501194;186999,177865228;187859,564620382;188504,279137488;184825,096194577;186846,553772188;181145,913540462;181483,536404088;183340,566885746;184920,617007034;186249,98898066;186988,158244664;189654,920448716;190948,916997921;192126,913862222;193735,743928595;164352,252832373;159484,339701632;157454,24833056;155929,752708973;157345,979808046;185593,894408968;187171,861354786;192128,03160975
COM;Comoros;318,117681868274;319,394805798517;324,144537692409;329,558443098253;332,422707192509;337,539466646692;340,945684405209;345,541348257805;354,907921085421;362,95476696516;351,604115985979;363,696490621218;371,565968318207;365,122099490622;371,603296656962;405,956805525225;393,144754632546;383,988238131007;399,66230688445;407,368160790602;418,731045556914;431,293934151261;439,855664415987;450,004974197676;457,29256913188;466,033657387665;478,305151190198;484,669988413243;491,92445884332
CPV;Cape Verde;147,751483466087;156,599469368349;184,50657228583;186,821505386354;171,142799381552;197,817676405971;168,788571458167;182,953728400144;199,118823146593;205,366402330855;215,05027929118;223,546432370932;230,767556340512;232,243840222945;247,562408644128;267,910224765562;270,940814199652;280,605177409159;278,451732733988;288,415453480673;296,698099953805;271,454967582479;263,154842740255;266,708057913599;271,192090241905;274,25509770842;283,857351744593;269,797352562807;273,716897367245
CRI;Costa Rica;10269,8178377649;10408,8338250501;10897,4621010787;10914,3564610667;10714,8912495514;10254,2860703772;10393,0128630593;10474,7128731507;10641,8680916216;10387,3920878563;10307,1651706727;7182,02239059109;6946,54873497367;6949,24310611346;6914,22646247898;6944,70130097305;6926,65229705636;7331,89926424183;7528,77427283847;7608,16657902412;7888,52191159843;7858,47791742049;7599,18709962124;7581,90399472414;7781,34628110684;7851,65601769782;8185,04800213955;8301,09825436064;8552,36627496562
