GHG emissions from food systems (each GHG is expressed in kt CO2eq, GWP-100 AR5) by sector and country, including LULUC which is reported separately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference dataset: EDGAR-FOODv6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country_code_A3;Name;C_group_IM24_sh;dev_country;Substance;FOOD_system_stage;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
BOL;Bolivia (Plurinational State of);06:_Rest South America;D;GWP_100_CH4;LULUC (Production);3153,9424;3153,9424;3153,9424;3153,9424;3153,9424;3153,9424;5255,7904;5567,8672;5551,5992;9828,7756;2418,5112;920,7492;2484,3868;881,9412;6093,9368;2737,0336;3207,708;5011,8768;1834,07;798,4144;9189,446;1981,112;1407,322;597,6852;378,6524;1235,6232;1646,3356;823,5276;975,6404
BOL;Bolivia (Plurinational State of);06:_Rest South America;D;GWP_100_N2O;LULUC (Production);2026,826;2026,826;2026,826;2026,826;2026,826;2026,826;1463,012;1549,879;1545,3475;2735,9395;673,2325;795,636;2146,8445;762,1135;5265,9475;2365,1515;2771,8735;4330,9215;1584,8855;689,9275;7940,884;1711,9265;1216,1115;516,485;327,1955;1067,738;1422,6525;711,631;843,071
BRA;Brazil;05:_Brazil;D;GWP_100_CO2;LULUC (Production);1385419,0318;1385419,0318;1385419,0318;1385419,0318;1385419,0318;1385422,6635;1385424,1894;1385427,4541;1385432,1863;1385438,8709;1385438,5517;1605336,361;1605338,289;1605338,7623;1605411,4732;1605411,4732;1605411,4732;1605411,4732;1605411,4732;1605411,4732;1605411,4732;781208,0749;781208,0749;781208,0749;781208,2287;781208,2287;653709,2256;653717,1742;653719,2204
BRA;Brazil;05:_Brazil;D;GWP_100_CH4;LULUC (Production);6063,6576;6063,6576;6063,6576;6063,6576;6063,6576;6063,6576;9830,8;11973,4468;21202,8964;16212,6524;2379,6556;2297,9068;5817,868;5242,496;6004,2276;7520,8812;3457,2468;8600,76;2620,3492;1147,034;8785,7924;1841,1736;3932,768;1161,1012;2568,398;5047,3556;4224,4384;6464,9368;1901,2728
BRA;Brazil;05:_Brazil;D;GWP_100_N2O;LULUC (Production);3808,315;3808,315;3808,315;3808,315;3808,315;3809,375;2809,795;3406,8135;5977,34;4590,5685;739,721;2063,1575;5105,384;4608,3765;5280,92;6591,504;3079,989;7524,675;2356,804;1083,6645;7684,5495;1683,492;3490,898;1095,828;2311,966;4454,12;3743,231;5682,2095;1739,354
BRN;Brunei Darussalam;21:_Southeastern Asia;D;GWP_100_CO2;LULUC (Production);1550,9997;1550,9997;1550,9997;1550,9997;1550,9997;1559,9927;1394,4474;1526,4307;4464,7456;1345,6562;1360,7498;1475,4909;1429,6471;1529,6174;1410,1922;1417,3914;1390,2168;1384,054;1379,5276;1395,0913;1379,3916;489,6058;489,5427;483,5697;547,2585;515,0704;393,8618;341,2493;345,777
BRN;Brunei Darussalam;21:_Southeastern Asia;D;GWP_100_CH4;LULUC (Production);110,4404;110,4404;110,4404;110,4404;110,4404;110,4404;42,756;101,7492;1336,8208;16,5732;21,8456;14,3696;0;41,9356;2,0076;8,932;0;0,0588;0;7,4452;3,1052;0;0;0;25,7712;14,5096;16,3156;0;0
BRN;Brunei Darussalam;21:_Southeastern Asia;D;GWP_100_N2O;LULUC (Production);43,884;43,884;43,884;43,884;43,884;44,785;41,605;45,9245;110,876;41,1015;41,7905;38,6635;38,0805;37,1265;36,0665;34,662;34,4765;33,973;33,496;33,2575;32,595;32,3565;32,33;31,747;31,7205;30,899;31,217;30,3425;30,7665
BTN;Bhutan;18:_India +;D;GWP_100_CH4;LULUC (Production);4,228;4,228;4,228;4,228;4,228;4,228;5,0988;6,6108;8,9376;19,0876;9,6012;0;0,1176;0,756;2,0972;0,1176;1,6884;9,086;0,4088;2,6796;1,806;1,8648;13,6864;0,9324;2,9708;6,8712;1,106;0,756;0,9324
BTN;Bhutan;18:_India +;D;GWP_100_N2O;LULUC (Production);2,385;2,385;2,385;2,385;2,385;2,385;1,431;1,8285;2,491;5,3;2,6765;0;0,106;0,6625;1,802;0,106;1,4575;7,844;0,3445;2,3055;1,5635;1,6165;11,819;0,795;2,5705;5,936;0,954;0,6625;0,795
