Country_code_A3;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
COD;0,970997355987274;0,974498899887974;0,975563588916048;0,975786635346795;0,973422573262995;0,972263910495612;0,969839354798915;0,970307937390743;0,970900013821871;0,970277607965652;0,971666047383718;0,973985751550038;0,973601173622436;0,971983905946369;0,971853847831715;0,969607849549894;0,96946401383705;0,969772738925354;0,968772037806249;0,969737785078187;0,969098773082274;0,977051530376874;0,970373462511573;0,965167556539971;0,965022179115453;0,966933534595679;0,966647274181753;0,963543519732044;0,965469943213122
COG;0,363156076795018;0,364115565826317;0,36468555812345;0,365674489343326;0,374380923867839;0,360571574577226;0,491980973345012;0,477044920833623;0,443062749657416;0,448815796199429;0,43926385444303;0,362049725749542;0,474953545700019;0,336952154826438;0,319336563289392;0,265357217946869;0,274066379155551;0,313728167768801;0,350646025902864;0,349250458835692;0,289701255529872;0,259913670082655;0,280024043678244;0,27487718827027;0,386225056081431;0,291299670955557;0,305023103566111;0,352393634224775;0,313963402667711
COK;0,451806152398235;0,7224359720197;0,442630309216309;0,473945461464985;0,440924160764524;0,466135167672271;0,46660127188069;0,463640202650006;0,448998246491166;0,434177042878546;0,359545550305423;0,240933006237667;0,35129520752496;0,372178217856294;0,270887443776233;0,202730111792093;0,201859358924484;0,235205308380629;0,236636780728604;0,261379401738071;0,231443642318825;0,223641174509582;0,22204411283373;0,220868958439088;0,20550416983991;0,208275144945666;0,210377760668897;0,258427862510235;0,254402668065732
COL;0,776004599099605;0,771272138248829;0,765927243188336;0,76083905637196;0,761142741565414;0,749471773784232;0,762332132577031;0,743359951077056;0,737511255506548;0,759213065565444;0,750713935620642;0,763645116890372;0,768079540211448;0,753813024706048;0,76163206986577;0,769237149307754;0,770435993651262;0,765221173660849;0,76799315704014;0,757056668938907;0,749679369462942;0,69152150753998;0,67748271541671;0,641122491497373;0,624401218097078;0,630838299424218;0,60274824037101;0,675737701250417;0,673923615473472
COM;0,798220230682565;0,783323343234208;0,795138342546285;0,797862655105155;0,791299182642349;0,786471458299547;0,781074335444993;0,776744672395249;0,757121858360239;0,752247957547633;0,684836602729398;0,681442433440619;0,68443671389206;0,639769492363036;0,62777390809474;0,652802158180848;0,620130059955221;0,673079790761416;0,674454178776814;0,650254684271523;0,629669109542231;0,657394586276407;0,650909610959481;0,629746464368182;0,649495776997577;0,63710666354297;0,616393866538691;0,562624198405351;0,555535770448722
CPV;-0,525213612651321;-0,601150023670733;-0,805449220593989;-0,819685041495573;-0,749179189737839;-0,988122039208598;-0,783651091836548;-0,938277029120256;-1,13946385141825;-1,26823752943579;3,99868981074824;0,401626790197207;0,389545445445992;0,401549181807973;0,394232137167367;0,307123195280109;0,295461021848874;0,283311504268166;0,275841030218208;0,296938313175638;0,288770379188772;0,251369517616774;0,274178932829964;0,283793120399784;0,274974709709932;0,274156912425718;0,269496618169292;0,258570248433325;0,251361617212145
CRI;0,819616538467971;0,811741635348615;0,77792589975151;0,777519259073638;0,743554788071155;0,73665762333466;0,755718695239213;0,76355900035899;0,74248086067032;0,740539123310119;0,747851944563104;0,651718335476532;0,630186837599035;0,556485578543947;0,589858789330414;0,591971085407842;0,565922613804008;0,551071903378658;0,559800982462535;0,572224086199009;0,581695617334097;1,0878829524836;1,08537301110305;1,0345845373517;1,02489528753504;1,06375951639363;0,995487718306399;0,98902370435986;1,01359885876984
CUB;0,499335901128381;0,580729410959676;0,661391406202459;0,660455095005863;0,651966996409943;0,615145782651565;0,593148566465363;0,556424322109894;0,57046240896055;0,537926833751256;0,529882622227871;0,521672915763367;0,538851566523913;0,54665844208182;0,54882149098244;0,521402711946916;0,518186899372779;0,507012360113223;0,526619648232399;0,520398968153111;0,484703626150112;0,54427095015862;0,541048251333478;0,564055573054974;0,573793686953472;0,553702020889715;0,428708887952033;0,440773342281733;0,447170832841424
CYM;0,115355669815773;0,112665893192123;0,115594141693352;0,119825884324198;0,119297272617092;0,119697537283583;0,121064509575297;0,12875924219122;0,156133288871966;0,186116989711264;0,171123041117867;0,173649517623555;0,169243892792449;0,165786764806051;0,168509728703434;0,17130699782519;0,166671145860237;0,16551347307007;0,1672078854061;0,163623016445852;0,155707023371215;0,153225402514652;0,156784201879112;0,149561485994785;0,154616630924421;0,152509427116596;0,163011549891374;0,181666662851176;0,183164440631299
CYP;0,23890602268613;0,278505475586623;0,252463119140512;0,254719193477125;0,252201701600493;0,258561213878225;0,262600928241797;0,249843066107393;0,238627132384557;0,23725336464329;0,230003733484692;0,238906645413875;0,24076922005312;0,228825569751904;0,233830340891785;0,234634758067054;0,23505780835545;0,229594503874983;0,227932651738606;0,225626095072062;0,2367747307385;0,233534075866527;0,243133228190524;0,250372089381427;0,250291606359819;0,250577595476729;0,244445125176758;0,244922048863608;0,257671799309237
CZE;0,177094157604387;0,175960794886432;0,165191029164901;0,179677533724158;0,187794545568307;0,188495902424609;0,179266053541849;0,174841122040118;0,178461138821458;0,184941130069944;0,174339858353331;0,178020119408204;0,17830993441899;0,17289694660634;0,169897724192309;0,173332674684376;0,171598719736091;0,171490007375554;0,175923661405716;0,166348070316306;0,178470695964558;0,181437466163902;0,183565248137004;0,191413413719247;0,193115359450779;0,196388472404848;0,197213185518402;0,198558330180636;0,197858272013735
DEU;0,185023255968554;0,186426815109266;0,189349832581144;0,185840149047763;0,1867244277373;0,189183406066575;0,184702957188655;0,189371754522873;0,192579107448586;0,1943942396111;0,190185368985891;0,179203061279444;0,184330232269672;0,182579591226762;0,184295781525499;0,183872738460321;0,180655280649343;0,187532902734767;0,186744945835026;0,194961770229044;0,187954855344435;0,19397494697154;0,191423463978758;0,189344280690523;0,196982358088341;0,193946118517941;0,192274699290415;0,193766656823939;0,194517455109011
